Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
ES73_Blue-042_MG-protein_0_1	3.4	54067108	15426307	54067108	2703355400	2295400	2679467542	0.8836373493474072
ES73_Blue-042_MG-protein_0_2	3.4	54067108	17841261	54067108	2703355400	31196956	2646683743	2.096345045864114
ES74_Blue-042_MG-protein_14_1	3.4	50856622	14708816	50856622	2542831100	2500233	2519073910	0.9342810853619022
ES74_Blue-042_MG-protein_14_2	3.4	50856622	16854475	50856622	2542831100	31266350	2487530146	2.1747788911343737
ES75_Blue-042_MG-protein_21_1	3.4	48752999	13847499	48752999	2437649950	2331935	2415877531	0.893172500013794
ES75_Blue-042_MG-protein_21_2	3.4	48752999	16165695	48752999	2437649950	22271739	2392235263	1.8630520350142972
ES76_Blue-043_MG-lipid_0_1	3.4	41698955	12185574	41698955	2084947750	1845717	2065737962	0.9213558469270992
ES76_Blue-043_MG-lipid_0_2	3.4	41698955	13678499	41698955	2084947750	21775718	2043603980	1.9829643212881474
ES77_Blue-043_MG-lipid_14_1	3.4	46808497	13768831	46808497	2340424850	1864713	2318168338	0.9509603352570796
ES77_Blue-043_MG-lipid_14_2	3.4	46808497	15186225	46808497	2340424850	23153006	2295523841	1.9184982162533437
ES78_Blue-043_MG-lipid_21_1	3.4	50869044	15052346	50869044	2543452200	2019180	2520237058	0.9127414307215996
ES78_Blue-043_MG-lipid_21_2	3.4	50869044	16583460	50869044	2543452200	21295187	2498418960	1.770555782412581
ES79_Blue-050_Control-lipid_0_1	3.4	39723303	11605142	39723303	1986165150	1857966	1967989562	0.9151096020388839
ES79_Blue-050_Control-lipid_0_2	3.4	39723303	13280066	39723303	1986165150	22815870	1944434804	2.1010511638470746
ES7_SEM19-1354_Control-protein_14_1	3.4	43586968	12839630	43586968	2179348400	1686723	2159723781	0.9004810336887851
ES7_SEM19-1354_Control-protein_14_2	3.4	43586968	14533675	43586968	2179348400	18275746	2140323887	1.7906504990207164
ES80_Blue-050_Control-lipid_14_1	3.4	42584696	12291334	42584696	2129234800	1885706	2110243454	0.8919329141154372
ES80_Blue-050_Control-lipid_14_2	3.4	42584696	14616175	42584696	2129234800	23120205	2085319281	2.0625024069679867
ES81_Blue-047_Control-lipid_0_1	3.4	45744603	13004652	45744603	2287230150	1936002	2267048069	0.882380857037933
ES81_Blue-047_Control-lipid_0_2	3.4	45744603	15109860	45744603	2287230150	28276708	2237359901	2.180377387907378
ES82_Blue-047_Control-lipid_14_1	3.4	30270088	8125860	30270088	1513504400	1213082	1500693628	0.8464311038672897
ES82_Blue-047_Control-lipid_14_2	3.4	30270088	9814411	30270088	1513504400	19791551	1479580192	2.2414343823513168
ES83_SEM19-1481_MG-lipid_0_1	3.4	47362824	13599016	47362824	2368141200	1981711	2347196444	0.88443864749281
ES83_SEM19-1481_MG-lipid_0_2	3.4	47362824	15755299	47362824	2368141200	25389615	2320166349	2.025844193749933
ES84_LD19-239_MG-lipid_0_1	3.4	46804558	13711501	46804558	2340227900	2133997	2318949158	0.909259393070222
ES84_LD19-239_MG-lipid_0_2	3.4	46804558	15555948	46804558	2340227900	24578952	2293449496	1.9988824165372954
ES85_orange-24_Control-protein_0_1	3.4	45239225	12951472	45239225	2261961250	1850636	2240602489	0.9442584836499741
ES85_orange-24_Control-protein_0_2	3.4	45239225	14906147	45239225	2261961250	18246885	2222201213	1.757768264155719
ES86_orange-24_Control-protein_14_1	3.4	35737652	10282658	35737652	1786882600	1528417	1770143380	0.9367834238242624
ES86_orange-24_Control-protein_14_2	3.4	35737652	11687998	35737652	1786882600	15605226	1754477859	1.8134790164725987
ES87_orange-24_Control-protein_21_1	3.4	44212800	12738153	44212800	2210640000	2012550	2181951924	1.2977271740310499
ES87_orange-24_Control-protein_21_2	3.4	44212800	14547753	44212800	2210640000	23281883	2166020218	2.018410143668802
ES88_610_MG-protein_0_1	3.4	49105301	13952709	49105301	2455265050	1640915	2434219253	0.8571700639814834
ES88_610_MG-protein_0_2	3.4	49105301	15988427	49105301	2455265050	16361780	2415895279	1.6034835424387277
ES89_Blue-049_Control-protein_0_1	3.4	300810	218017	300810	15040500	77227	5759305	61.70802167481134
ES89_Blue-049_Control-protein_0_2	3.4	300810	102784	300810	15040500	3175071	11381112	24.330228383364915
ES8_SEM19-1354_Control-protein_21_1	3.4	46215514	13501163	46215514	2310775700	1670412	2289899108	0.9034451937503064
ES8_SEM19-1354_Control-protein_21_2	3.4	46215514	15167308	46215514	2310775700	23254410	2265890587	1.9424262164432489
ES90_Blue-049_Control-protein_14_1	3.4	45021520	12736111	45021520	2251076000	2393619	2230935429	0.8947086193447045
ES90_Blue-049_Control-protein_14_2	3.4	45021520	14827458	45021520	2251076000	31217202	2198650475	2.3289095970104965
ES91_Blue-049_Control-protein_21_1	3.4	42838386	12284410	42838386	2141919300	2346503	2121323491	0.9615585890654237
ES91_Blue-049_Control-protein_21_2	3.4	42838386	14321063	42838386	2141919300	24325288	2097108062	2.0921067381016645
ES92_SEM19-76_MG-lipid_0_1	3.4	50014098	14313389	50014098	2500704900	2243736	2478094733	0.9041517453738743
ES92_SEM19-76_MG-lipid_0_2	3.4	50014098	16885909	50014098	2500704900	34235835	2442376964	2.3324597796405326
ES93_SEM19-76_MG-lipid_14_1	3.4	48222631	13842903	48222631	2411131550	2264029	2389335377	0.9039810789253702
ES93_SEM19-76_MG-lipid_14_2	3.4	48222631	15943757	48222631	2411131550	24029508	2364197497	1.9465571258440877
ES94_SEM19-76_MG-lipid_21_1	3.4	49787416	14661309	49787416	2489370800	2601449	2466144444	0.9330211473517727
ES94_SEM19-76_MG-lipid_21_2	3.4	49787416	16767338	49787416	2489370800	29842064	2435626731	2.1589418900551096
ES95_610_MG-protein_14_1	3.4	50223799	14376486	50223799	2511189950	2079455	2488963785	0.8850849773431116
ES95_610_MG-protein_14_2	3.4	50223799	16501327	50223799	2511189950	24822970	2462765810	1.9283344137308291
ES96_610_MG-protein_21_1	3.4	48710026	14451277	48710026	2435501300	1756838	2413197399	0.9157827589745076
ES96_610_MG-protein_21_2	3.4	48710026	16456398	48710026	2435501300	31069690	2380885431	2.2424898315595234
ES97_SEM19-107_MG-protein_0_1	3.4	47762041	14117194	47762041	2388102050	2587977	2365869130	0.9309870153999491
ES97_SEM19-107_MG-protein_0_2	3.4	47762041	15829477	47762041	2388102050	15173642	2350249920	1.5850298357224724
ES98_SEM19-107_MG-protein_14_1	3.4	56505354	16742287	56505354	2825267700	2217314	2799697936	0.9050386269591374
ES98_SEM19-107_MG-protein_14_2	3.4	56505354	18372992	56505354	2825267700	16677180	2782069811	1.5289839260187628
ES99_SEM19-107_MG-protein_21_1	3.4	46852208	13764912	46852208	2342610400	2832515	2320066084	0.9623587430500606
ES99_SEM19-107_MG-protein_21_2	3.4	46852208	15337404	46852208	2342610400	15900656	2304718589	1.6175037471019509
ES9_172_Control-protein_0_1	3.4	45596036	13348013	45596036	2279801800	1935929	2259211361	0.9031679420553138
ES9_172_Control-protein_0_2	3.4	45596036	14828931	45596036	2279801800	21119355	2237614411	1.8504849412786673
