x y r gene
GOLIM4 eye_score 0.005546675947809597 GOLIM4
eye_score LOC115485035 0.0057030231766814245 LOC115485035
BDH1 eye_score 0.005745002487603709 BDH1
HSPB8 eye_score 0.0075563464186675245 HSPB8
KIT eye_score 0.008277915389059576 KIT
SMIM13 eye_score 0.008573691119028672 SMIM13
CD14 eye_score 0.009040296084236345 CD14
eye_score LOC115485226 0.010767068567958126 LOC115485226
TNK2 eye_score 0.013035964258613166 TNK2
eye_score GPBP1L1 0.013251414146208838 GPBP1L1
MAP3K15 eye_score 0.01342437828212025 MAP3K15
CD44 eye_score 0.01347908299584456 CD44
LOC103819056 eye_score 0.01572875253892732 LOC103819056
NACC2 eye_score 0.017159259248074394 NACC2
eye_score SLX1B 0.017332173989795197 SLX1B
TIMM13 eye_score 0.017579654310486144 TIMM13
SIGLEC1 eye_score 0.017899330250505528 SIGLEC1
RPSA eye_score 0.018201035176743187 RPSA
eye_score ANKRD17 0.01833406683500881 ANKRD17
NDUFV2 eye_score 0.018434414518571012 NDUFV2
eye_score CAB39L 0.019078495204845822 CAB39L
EXOSC1 eye_score 0.02060100572060852 EXOSC1
LOC103822106 eye_score 0.021374187715540435 LOC103822106
eye_score MKRN1 0.021510320653618954 MKRN1
LOC103822078 eye_score 0.022486326552435317 LOC103822078
eye_score CAB39 0.022577905622207888 CAB39
PXN eye_score 0.022726238932411214 PXN
eye_score NCOR1 0.022984026103928377 NCOR1
RBIS eye_score 0.0233657850520568 RBIS
IQGAP1 eye_score 0.024323996347540858 IQGAP1
LOC103826772 eye_score 0.02539797413646467 LOC103826772
LOC103815614 eye_score 0.026202624303180985 LOC103815614
NCKAP1 eye_score 0.026512409044968575 NCKAP1
eye_score PURG 0.027983552989889224 PURG
eye_score LOC103813338 0.028113492117060494 LOC103813338
LOC103827276 eye_score 0.02831629831022992 LOC103827276
GP1BB eye_score 0.02864483482393573 GP1BB
LOC103813632 eye_score 0.029146907645415398 LOC103813632
LYN eye_score 0.029368187084439286 LYN
TSPAN8 eye_score 0.029401283461289486 TSPAN8
eye_score LOC103824731 0.03023328926193755 LOC103824731
PKIG eye_score 0.03067802639493265 PKIG
FABP3 eye_score 0.031073049104978996 FABP3
eye_score FGF8 0.031961450904379886 FGF8
